id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2081091;Hospital CNES 2081091;352260;Itapira;SP;Sao Paulo;-22,4357;-46,8224;1164;1164;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
2081105;Hospital CNES 2081105;355630;Valparaíso;SP;Sao Paulo;-21,2229;-50,8699;654;374;280;05;;3999;Grande Porte;Baixa/Media Complexidade;57,19
2081113;Hospital CNES 2081113;354390;Rio Claro;SP;Sao Paulo;-22,3984;-47,5546;744;72;672;05;;2054;Grande Porte;Baixa/Media Complexidade;9,68
2081164;Hospital CNES 2081164;354340;Ribeirão Preto;SP;Sao Paulo;-21,1699;-47,8099;1188;948;240;05;;3069;Grande Porte;Baixa/Media Complexidade;79,8
2081202;Hospital CNES 2081202;354330;Ribeirão Pires;SP;Sao Paulo;-23,7067;-46,4058;516;516;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
2081229;Hospital CNES 2081229;353600;Parapuã;SP;Sao Paulo;-21,7792;-50,7949;384;312;72;05;;3999;Grande Porte;Baixa/Media Complexidade;81,25
2081237;Hospital CNES 2081237;354380;Rinópolis;SP;Sao Paulo;-21,7284;-50,7239;288;276;12;05;;3999;Grande Porte;Baixa/Media Complexidade;95,83
2081245;Hospital CNES 2081245;355230;Sud Mennucci;SP;Sao Paulo;-20,6872;-50,9238;264;240;24;05;;3999;Grande Porte;Baixa/Media Complexidade;90,91
2081253;Hospital CNES 2081253;350330;Araras;SP;Sao Paulo;-22,3572;-47,3842;2148;1476;672;05;;3999;Grande Porte;Baixa/Media Complexidade;68,72
2081261;Hospital CNES 2081261;350700;Boituva;SP;Sao Paulo;-23,2855;-47,6786;637;457;180;05;;3069;Grande Porte;Baixa/Media Complexidade;71,74
2081288;Hospital CNES 2081288;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3480;60;3420;05;;3999;Grande Porte;Baixa/Media Complexidade;1,72
